Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinalSuite,,,,2023-11-02 18:32:44,2023-11-02 18:32:51,7.029s,PASSED
,,,,,,,
Test Cases/Login,,,,2023-11-02 18:32:44,2023-11-02 18:32:51,6.716s,PASSED
"println(""login test case"")",,,,2023-11-02 18:32:44,2023-11-02 18:32:44,0.003s,PASSED
"openBrowser(""https://www.facebook.com"")",,,,2023-11-02 18:32:44,2023-11-02 18:32:51,6.580s,PASSED
,,,,,,,
Test Cases/Log out,,,,2023-11-02 18:32:51,2023-11-02 18:32:51,0.049s,PASSED
"println(""Log out test case"")",,,,2023-11-02 18:32:51,2023-11-02 18:32:51,0.001s,PASSED
