Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinalSuite,,,,2023-11-02 20:04:32,2023-11-02 20:04:35,3.193s,PASSED
,,,,,,,
Test Cases/Login,,,,2023-11-02 20:04:32,2023-11-02 20:04:35,3.019s,PASSED
"println(""login test case"")",,,,2023-11-02 20:04:32,2023-11-02 20:04:32,0.004s,PASSED
"openBrowser(""https://www.facebook.com"")",,,,2023-11-02 20:04:32,2023-11-02 20:04:35,2.852s,PASSED
,,,,,,,
Test Cases/Log out,,,,2023-11-02 20:04:35,2023-11-02 20:04:35,0.044s,PASSED
"println(""Log out test case"")",,,,2023-11-02 20:04:35,2023-11-02 20:04:35,0.000s,PASSED
"println(""Log out test case"")",,,,2023-11-02 20:04:35,2023-11-02 20:04:35,0.000s,PASSED
