Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinalSuite,,,,2023-11-02 19:46:37,2023-11-02 19:46:42,5.028s,PASSED
,,,,,,,
Test Cases/Login,,,,2023-11-02 19:46:37,2023-11-02 19:46:42,4.837s,PASSED
"println(""login test case"")",,,,2023-11-02 19:46:37,2023-11-02 19:46:37,0.003s,PASSED
"openBrowser(""https://www.facebook.com"")",,,,2023-11-02 19:46:37,2023-11-02 19:46:42,4.684s,PASSED
,,,,,,,
Test Cases/Log out,,,,2023-11-02 19:46:42,2023-11-02 19:46:42,0.044s,PASSED
"println(""Log out test case"")",,,,2023-11-02 19:46:42,2023-11-02 19:46:42,0.001s,PASSED
"println(""Log out test case"")",,,,2023-11-02 19:46:42,2023-11-02 19:46:42,0.000s,PASSED
