Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinalSuite,,,,2023-11-02 19:48:33,2023-11-02 19:48:37,3.140s,PASSED
,,,,,,,
Test Cases/Login,,,,2023-11-02 19:48:34,2023-11-02 19:48:36,2.960s,PASSED
"println(""login test case"")",,,,2023-11-02 19:48:34,2023-11-02 19:48:34,0.005s,PASSED
"openBrowser(""https://www.facebook.com"")",,,,2023-11-02 19:48:34,2023-11-02 19:48:36,2.805s,PASSED
,,,,,,,
Test Cases/Log out,,,,2023-11-02 19:48:36,2023-11-02 19:48:37,0.043s,PASSED
"println(""Log out test case"")",,,,2023-11-02 19:48:37,2023-11-02 19:48:37,0.001s,PASSED
"println(""Log out test case"")",,,,2023-11-02 19:48:37,2023-11-02 19:48:37,0.000s,PASSED
