Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinalSuite,,,,2023-11-03 14:10:50,2023-11-03 14:11:28,37.994s,FAILED
,,,,,,,
Test Cases/Login,,,,2023-11-03 14:10:50,2023-11-03 14:11:28,37.830s,FAILED
"println(""login test case"")",,,,2023-11-03 14:10:50,2023-11-03 14:10:50,0.003s,PASSED
"openBrowser(""https://www.facebook.com"")",,,,2023-11-03 14:10:50,2023-11-03 14:11:28,37.416s,PASSED
"waitForElementPresent(findTestObject(""Facebook/Page_Facebook  log in or sign up/i_Username""), 5)",,,,2023-11-03 14:11:28,2023-11-03 14:11:28,0.220s,FAILED
,,,,,,,
Test Cases/Log out,,,,2023-11-03 14:11:28,2023-11-03 14:11:28,0.043s,PASSED
"println(""Log out test case"")",,,,2023-11-03 14:11:28,2023-11-03 14:11:28,0.000s,PASSED
"println(""Log out test case"")",,,,2023-11-03 14:11:28,2023-11-03 14:11:28,0.000s,PASSED
