Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinalSuite,,,,2023-11-03 11:41:33,2023-11-03 11:41:36,2.979s,FAILED
,,,,,,,
Test Cases/Login,,,,2023-11-03 11:41:33,2023-11-03 11:41:36,2.781s,FAILED
"println(""login test case"")",,,,2023-11-03 11:41:33,2023-11-03 11:41:33,0.003s,PASSED
"openBrowser(""https://www.facebook.com"")",,,,2023-11-03 11:41:33,2023-11-03 11:41:36,2.366s,PASSED
waitForPageLoad(10),,,,2023-11-03 11:41:36,2023-11-03 11:41:36,0.221s,FAILED
,,,,,,,
Test Cases/Log out,,,,2023-11-03 11:41:36,2023-11-03 11:41:36,0.046s,PASSED
"println(""Log out test case"")",,,,2023-11-03 11:41:36,2023-11-03 11:41:36,0.001s,PASSED
"println(""Log out test case"")",,,,2023-11-03 11:41:36,2023-11-03 11:41:36,0.000s,PASSED
