Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinalSuite,,,,2023-11-03 13:08:27,2023-11-03 13:08:30,2.633s,FAILED
,,,,,,,
Test Cases/Login,,,,2023-11-03 13:08:27,2023-11-03 13:08:30,2.468s,FAILED
"println(""login test case"")",,,,2023-11-03 13:08:27,2023-11-03 13:08:27,0.003s,PASSED
"openBrowser(""https://www.facebook.com"")",,,,2023-11-03 13:08:27,2023-11-03 13:08:29,2.050s,PASSED
"waitForElementPresent(findTestObject(""Facebook/Page_Facebook  log in or sign up/i_Username""), 5)",,,,2023-11-03 13:08:29,2023-11-03 13:08:30,0.223s,FAILED
,,,,,,,
Test Cases/Log out,,,,2023-11-03 13:08:30,2023-11-03 13:08:30,0.045s,PASSED
"println(""Log out test case"")",,,,2023-11-03 13:08:30,2023-11-03 13:08:30,0.001s,PASSED
"println(""Log out test case"")",,,,2023-11-03 13:08:30,2023-11-03 13:08:30,0.001s,PASSED
